condition,taxa841,taxa572511,taxa1730,taxa216851,taxa189330,taxa375288,taxa816,taxa239759,taxa33042,taxa292632,taxa1263,taxa102106,taxa1678,taxa459786,taxa1301,taxa1485,taxa239934,taxa35832,taxa397864,taxa39948,taxa283168,taxa84111,taxa561,taxa207244,taxa61170,taxa29465,taxa2172,taxa447020,taxa838,taxa244127,taxa836,taxa100883,taxa577310,taxa1357,taxa1378,taxa724,taxa117563,taxa644652,taxa1578,taxa872,taxa40544,taxa577309,taxa1654,taxa904,taxa123375,taxa32207,taxa1017280,taxa830,taxa133925,taxa848,taxa286,taxa570,taxa906,taxa1350,taxa52225,taxa33024,taxa1380,taxa1348911,taxa946234,taxa84108,taxa846
crc,2.03212,4.68357,11.6614,8.00352,6.92008,9.34179,12.7358,0.28506,3.56042,2.14589,19.5679,0.00805,,0.28833,0.31906,1.08175,0.00121,0.17199,,5.02841,3.23152,0.00495,1.23648,0.09574,,0.05616,,,0.45161,0.02014,,0.01723,,,0.00486,,0.02962,0.00354,0.14061,,,,,1.77001,0.3559,,0.01424,,0.00659,0.14818,,0.01523,,,,,0.00017,0.0735,0.00125,0.19055,
crc,2.01222,4.99095,11.6097,8.05876,6.94952,9.27043,12.4552,0.28638,3.57915,2.12346,19.5458,0.00492,,0.29011,0.33173,1.08683,0.00044,0.1751,,5.02259,3.19964,0.00632,1.27517,0.08654,,0.06137,,,0.43465,0.00474,,0.01958,,,0.00522,,0.03025,0.00401,0.13992,,,,,1.76316,0.34682,,0.01529,,0.00575,0.16083,,0.02238,,,,,,0.08254,0.00086,0.1879,
crc,2.17397,3.14677,8.00951,4.59752,3.26383,2.59618,3.82689,0.34663,1.5799,6.58596,1.31247,2.36052,3.30966,0.145,0.34536,0.71737,3.64721,0.08011,,,3.7336,,0.6418,,,,0.22933,0.00105,39.0888,,0.14758,,,0.03617,,,,,,0.18304,0.3821,,,,,,,,,,,,2.29607,,3.59353,0.30157,,,,,
crc,2.17623,3.10919,7.75862,5.01227,3.1556,2.61248,3.88594,0.37812,1.51453,5.98801,1.31097,2.65368,3.79938,0.1785,0.4356,0.74156,3.64326,0.1145,,,3.60691,0.00975,0.4115,,,,0.24514,,38.5516,,0.16647,,,0.04612,,,,0.01656,,0.19243,0.92456,,,,,,,,,,,,2.16082,,3.843,0.28197,,,0.00374,,
crc,0.23232,7.23833,2.61426,0.35505,0.04576,6.82777,49.516,12.0001,,1.23671,0.92011,,2.36001,2.18633,0.03131,7.30417,,0.95639,,,1.35461,,0.4214,,,,,,,1.12914,,,,,,,,,,0.56246,,0.03601,,,,,,,,,,,,,,,,,,0.09866,
crc,0.353,5.74152,2.86398,0.36457,0.02139,6.8251,48.825,12.4289,,1.4822,0.93877,,2.58744,2.37245,0.00896,7.62887,,1.16424,,,1.43837,,0.35435,,,,,,,1.19979,,0.00538,,,,,,,,0.45384,,0.04842,,,,,,,,,,,,,,,,,0.00768,0.10054,
crc,0.27379,6.85361,2.76833,0.35039,0.04228,5.62881,44.089,15.6775,,1.38491,0.88556,,3.17652,2.96902,0.06402,7.66791,,1.44496,,,1.40313,0.00252,0.42103,,,,,,,1.18068,,0.00722,,,,0.00196,,,,0.65101,,0.07285,,,,,,,,,,,,0.01909,,,,,0.0198,0.14797,
crc,0.16938,9.82745,4.1117,2.9948,7.19171,12.6608,17.5549,4.08444,11.3412,5.78861,0.08808,1.9541,,0.05215,1.66166,0.12919,,0.39338,0.86675,,0.56779,0.03331,4.01049,0.01364,0.31279,0.01011,0.14032,0.00469,2.73342,,,,0.0312,1.03545,,,0.26424,,,0.17419,,0.07778,0.10353,,,,,0.01511,,,,,,1.08029,,2.1395,,0.15804,,,
crc,0.17474,10.0205,4.26443,2.92178,7.30346,12.1069,17.583,4.10947,11.3936,5.82387,0.07821,1.97983,,0.0572,1.6456,0.14268,,0.35618,0.87173,,0.56768,0.0171,3.81675,0.03123,0.33523,0.01777,0.15885,0.00265,2.81196,,,,0.03665,1.10767,0.00057,,0.2859,,,0.15947,,0.07516,0.09403,,,,,0.04605,,,,,,1.12124,,2.12656,,0.1594,,,
crc,1.518,4.15923,2.01889,0.19737,3.65486,0.03996,24.4909,11.1292,0.35413,3.73822,1.42178,0.44084,3.21307,4.9393,0.86203,4.26785,0.00457,0.97124,,5.47758,1.07081,0.27904,,0.09788,0.04225,,0.17261,,12.9462,0.25311,0.82427,0.48774,,0.06265,0.23727,,,,,0.00322,0.00287,0.01024,,,2.42885,,,0.07521,,2.18294,,,,,,0.01261,,,0.0348,0.08098,
crc,1.49964,4.49625,1.96347,0.21301,3.65498,0.06714,24.2441,11.5302,0.33049,3.99589,1.86123,0.42652,3.15385,4.88138,0.78204,4.00856,0.00401,0.97662,,5.34373,1.01615,0.26051,,0.11919,0.04619,,0.18728,,12.8756,0.2681,0.80146,0.52358,,0.07351,0.25781,,0.00548,0.0012,,,,0.00442,,,2.39686,,,0.07458,,2.17256,,,,,,0.01059,,,0.04355,0.09181,
crc,1.47279,4.48747,1.92672,0.20356,3.60255,0.03377,24.9267,10.8143,0.31437,3.78513,1.40331,0.42603,3.13998,4.90353,0.88332,4.13999,0.00258,0.94661,,5.37798,1.02937,0.2667,,0.13329,0.03413,,0.20533,,13.1448,0.24745,0.81913,0.47177,,0.05831,0.28552,,,,,0.00339,,0.00815,,,2.46978,,,0.09339,,2.22233,,,,,,0.01337,,,0.05435,0.09627,
